date max mean median min stdv sum topic n1 no st rt
20170730 6.75 1.11 0.84 0.71 0.61 27533.99 RTS136 0.125 0.125 10.0 3.0
20170731 7.06 1.02 0.8 0.61 0.61 29896.07 RTS136 0.125 0.125 10.0 3.0
20170801 6.34 1.01 0.81 0.63 0.6 30093.56 RTS136 0.125 0.125 10.0 3.0
20170802 7.46 1.05 0.82 0.7 0.6 26704.36 RTS136 0.125 0.125 10.0 3.0
20170803 6.87 0.97 0.76 0.64 0.57 30162.24 RTS136 0.125 0.125 10.0 3.0
20170804 9.92 0.98 0.75 0.65 0.58 30087.86 RTS136 0.125 0.125 10.0 3.0
20170805 7.48 1.05 0.78 0.73 0.61 26154.02 RTS136 0.125 0.125 10.0 3.0
20170729 8.6 2.25 2.05 1.84 0.67 9257.18 RTS138 0.4585 0.396 8.5 6.0
20170730 8.74 1.7 1.67 1.11 0.76 12849.06 RTS138 0.4585 0.396 8.5 6.0
20170731 7.5 2.39 2.17 2.0 0.62 9960.55 RTS138 0.4585 0.396 8.5 6.0
20170801 7.49 2.21 1.76 1.73 0.68 10766.33 RTS138 0.4585 0.396 8.5 6.0
20170802 7.43 2.34 2.2 1.88 0.61 9610.79 RTS138 0.4585 0.396 8.5 6.0
20170803 8.35 2.33 2.11 1.92 0.58 11085.64 RTS138 0.4585 0.396 8.5 6.0
20170804 8.37 2.39 2.17 2.0 0.56 10849.37 RTS138 0.4585 0.396 8.5 6.0
20170805 8.65 2.3 2.01 1.99 0.62 9390.93 RTS138 0.4585 0.396 8.5 6.0
20170729 7.22 3.18 2.92 2.9 0.5 2952.46 RTS139 0.4501 0.4501 6.0 3.0
20170730 6.96 3.38 3.11 3.1 0.51 2964.34 RTS139 0.4501 0.4501 6.0 3.0
20170731 7.02 3.19 2.95 2.93 0.47 3404.06 RTS139 0.4501 0.4501 6.0 3.0
20170801 9.64 3.07 2.91 2.88 0.44 3934.7 RTS139 0.4501 0.4501 6.0 3.0
20170802 6.78 2.91 2.81 2.79 0.38 3935.69 RTS139 0.4501 0.4501 6.0 3.0
20170803 9.17 3.0 2.7 2.68 0.6 3891.4 RTS139 0.4501 0.4501 6.0 3.0
20170804 6.77 3.24 2.95 2.94 0.56 3390.18 RTS139 0.4501 0.4501 6.0 3.0
20170805 7.04 3.3 3.03 3.02 0.51 2828.54 RTS139 0.4501 0.4501 6.0 3.0
20170729 8.61 1.93 1.66 1.65 0.62 5614.87 RTS144 0.2046 0.2046 9.0 3.0
20170730 7.36 2.17 1.86 1.81 0.67 6038.34 RTS144 0.2046 0.2046 9.0 3.0
20170731 8.54 2.2 1.87 1.86 0.73 5910.44 RTS144 0.2046 0.2046 9.0 3.0
20170801 8.36 1.97 1.69 1.68 0.71 6388.4 RTS144 0.2046 0.2046 9.0 3.0
20170802 8.91 1.9 1.62 1.61 0.7 5937.44 RTS144 0.2046 0.2046 9.0 3.0
20170803 9.02 2.05 1.76 1.67 0.67 6258.03 RTS144 0.2046 0.2046 9.0 3.0
20170804 8.96 2.08 1.79 1.78 0.67 6148.79 RTS144 0.2046 0.2046 9.0 3.0
20170805 9.73 2.17 1.87 1.85 0.67 5245.24 RTS144 0.2046 0.2046 9.0 3.0
20170729 4.77 0.77 0.32 0.27 0.72 29344.37 RTS147 0.0 0.0 10.0 3.0
20170730 5.78 0.83 0.36 0.32 0.71 31855.43 RTS147 0.0 0.0 10.0 3.0
20170731 4.83 0.76 0.33 0.3 0.64 34213.31 RTS147 0.0 0.0 10.0 3.0
20170801 5.0 0.75 0.32 0.31 0.66 34347.5 RTS147 0.0 0.0 10.0 3.0
20170802 4.75 0.76 0.32 0.3 0.67 31686.56 RTS147 0.0 0.0 10.0 3.0
20170803 4.97 0.79 0.34 0.31 0.66 35719.87 RTS147 0.0 0.0 10.0 3.0
20170804 5.16 0.79 0.33 0.31 0.64 36712.05 RTS147 0.0 0.0 10.0 3.0
20170805 4.82 0.77 0.32 0.3 0.63 33000.99 RTS147 0.0 0.0 10.0 3.0
20170729 7.87 1.72 1.65 1.32 0.72 13224.05 RTS148 0.2759 0.2759 6.0 3.0
20170730 12.49 1.96 1.79 1.54 0.83 13495.29 RTS148 0.2759 0.2759 6.0 3.0
20170731 8.42 1.74 1.55 1.39 0.72 15089.46 RTS148 0.2759 0.2759 6.0 3.0
20170801 12.09 1.7 1.55 1.3 0.77 15966.54 RTS148 0.2759 0.2759 6.0 3.0
20170802 11.8 1.61 1.57 1.19 0.75 14906.38 RTS148 0.2759 0.2759 6.0 3.0
20170803 10.64 1.63 1.22 1.2 0.76 15855.84 RTS148 0.2759 0.2759 6.0 3.0
20170804 9.87 1.64 1.24 1.21 0.77 16177.39 RTS148 0.2759 0.2759 6.0 3.0
20170805 9.61 1.74 1.69 1.33 0.76 13304.24 RTS148 0.2759 0.2759 6.0 3.0
20170729 9.26 2.45 2.48 2.02 0.59 7281.09 RTS151 0.6349 0.3849 8.0 6.0
20170730 9.54 2.63 2.49 2.29 0.6 7253.94 RTS151 0.6349 0.3849 8.0 6.0
20170731 8.33 2.42 2.39 2.08 0.53 8155.6 RTS151 0.6349 0.3849 8.0 6.0
20170801 13.96 2.37 2.24 2.1 0.58 9079.75 RTS151 0.6349 0.3849 8.0 6.0
20170802 15.45 2.33 1.98 1.96 0.61 8008.63 RTS151 0.6349 0.3849 8.0 6.0
20170803 15.04 2.44 2.37 2.12 0.57 8457.6 RTS151 0.6349 0.3849 8.0 6.0
20170804 14.33 2.41 2.38 2.07 0.67 8852.18 RTS151 0.6349 0.3849 8.0 6.0
20170805 14.21 2.55 2.46 2.23 0.65 7183.4 RTS151 0.6349 0.3849 8.0 6.0
20170729 7.46 1.95 2.04 1.32 0.7 14435.45 RTS153 0.2609 0.1734 7.5 6.0
20170730 7.77 2.02 2.11 1.32 0.72 15549.88 RTS153 0.2609 0.1734 7.5 6.0
20170731 8.01 1.73 1.12 1.1 0.77 17476.87 RTS153 0.2609 0.1734 7.5 6.0
20170801 8.17 1.73 1.13 1.07 0.8 17250.8 RTS153 0.2609 0.1734 7.5 6.0
20170802 9.37 1.78 1.18 1.16 0.8 15254.59 RTS153 0.2609 0.1734 7.5 6.0
20170803 8.2 1.84 1.74 1.14 0.74 17968.39 RTS153 0.2609 0.1734 7.5 6.0
20170804 8.32 1.84 1.89 1.24 0.69 18785.52 RTS153 0.2609 0.1734 7.5 6.0
20170805 8.34 1.83 1.62 1.31 0.65 16979.53 RTS153 0.2609 0.1734 7.5 6.0
20170729 4.96 0.93 0.81 0.53 0.57 24587.61 RTS154 0.0 0.0 10.0 3.0
20170730 5.1 0.99 0.82 0.56 0.6 26429.66 RTS154 0.0 0.0 10.0 3.0
20170731 4.7 0.92 0.79 0.54 0.59 27065.8 RTS154 0.0 0.0 10.0 3.0
20170801 4.65 0.94 0.81 0.54 0.59 27875.83 RTS154 0.0 0.0 10.0 3.0
20170802 4.58 0.9 0.54 0.5 0.58 25150.19 RTS154 0.0 0.0 10.0 3.0
20170803 4.63 0.96 0.76 0.6 0.57 28161.28 RTS154 0.0 0.0 10.0 3.0
20170804 5.45 0.94 0.75 0.58 0.59 28191.99 RTS154 0.0 0.0 10.0 3.0
20170805 6.12 0.94 0.78 0.56 0.59 24900.79 RTS154 0.0 0.0 10.0 3.0
20170729 9.74 2.01 1.72 1.69 0.67 8439.22 RTS156 0.665 0.615 9.5 6.0
20170730 7.43 2.34 2.23 1.92 0.65 9109.36 RTS156 0.665 0.615 9.5 6.0
20170731 10.0 2.24 2.01 1.96 0.67 9299.42 RTS156 0.665 0.615 9.5 6.0
20170801 7.41 2.14 1.97 1.89 0.7 9369.19 RTS156 0.665 0.615 9.5 6.0
20170802 8.83 2.1 1.96 1.85 0.66 8426.08 RTS156 0.665 0.615 9.5 6.0
20170803 8.43 2.03 1.91 1.77 0.65 9922.73 RTS156 0.665 0.615 9.5 6.0
20170804 7.46 2.07 1.88 1.86 0.67 9929.25 RTS156 0.665 0.615 9.5 6.0
20170805 9.18 2.14 1.97 1.91 0.7 8352.63 RTS156 0.665 0.615 9.5 6.0
20170729 10.93 1.34 0.82 0.8 0.79 16253.29 RTS159 0.9125 0.75 9.5 6.0
20170730 6.47 1.43 0.9 0.83 0.83 17023.21 RTS159 0.9125 0.75 9.5 6.0
20170731 8.73 1.31 0.8 0.78 0.79 18768.92 RTS159 0.9125 0.75 9.5 6.0
20170801 8.76 1.37 0.82 0.79 0.78 19999.82 RTS159 0.9125 0.75 9.5 6.0
20170802 10.96 1.37 0.85 0.82 0.75 17954.1 RTS159 0.9125 0.75 9.5 6.0
20170803 5.29 1.35 0.85 0.83 0.7 21317.51 RTS159 0.9125 0.75 9.5 6.0
20170804 11.23 1.41 0.88 0.84 0.72 21217.66 RTS159 0.9125 0.75 9.5 6.0
20170805 8.24 1.36 0.83 0.8 0.77 17829.4 RTS159 0.9125 0.75 9.5 6.0
20170729 10.66 3.07 2.85 1.99 1.08 13312.18 RTS161 0.5921 0.5296 11.0 6.0
20170730 11.95 3.38 2.98 2.22 1.2 12535.38 RTS161 0.5921 0.5296 11.0 6.0
20170731 11.21 3.17 3.15 2.0 1.15 13085.17 RTS161 0.5921 0.5296 11.0 6.0
20170801 8.5 3.07 3.17 1.96 1.09 14174.95 RTS161 0.5921 0.5296 11.0 6.0
20170802 10.14 2.95 2.95 1.95 1.04 13261.06 RTS161 0.5921 0.5296 11.0 6.0
20170803 8.57 3.05 1.93 1.9 1.36 12650.67 RTS161 0.5921 0.5296 11.0 6.0
20170804 8.62 2.98 1.89 1.86 1.38 12891.12 RTS161 0.5921 0.5296 11.0 6.0
20170805 12.0 3.07 1.93 1.91 1.4 10978.91 RTS161 0.5921 0.5296 11.0 6.0
20170729 11.34 3.65 3.52 2.86 1.2 4694.99 RTS162 0.0125 0.0 9.5 6.0
20170730 11.8 4.1 3.71 3.17 1.36 4440.94 RTS162 0.0125 0.0 9.5 6.0
20170731 15.4 3.79 3.56 2.71 1.35 5433.55 RTS162 0.0125 0.0 9.5 6.0
20170801 20.49 3.61 3.19 2.84 1.2 6036.47 RTS162 0.0125 0.0 9.5 6.0
20170802 12.21 3.64 3.41 2.74 1.25 5261.75 RTS162 0.0125 0.0 9.5 6.0
20170803 12.11 3.7 3.54 2.96 1.08 5761.22 RTS162 0.0125 0.0 9.5 6.0
20170804 11.59 4.0 3.57 3.32 1.16 5276.2 RTS162 0.0125 0.0 9.5 6.0
20170805 12.38 4.0 3.52 3.27 1.26 4356.85 RTS162 0.0125 0.0 9.5 6.0
20170729 8.43 0.48 0.24 0.18 0.39 27354.37 RTS164 0.5641 0.5641 6.0 3.0
20170730 8.6 0.54 0.27 0.17 0.41 30626.96 RTS164 0.5641 0.5641 6.0 3.0
20170731 8.32 0.5 0.24 0.19 0.39 30790.33 RTS164 0.5641 0.5641 6.0 3.0
20170801 9.04 0.49 0.24 0.19 0.39 31681.73 RTS164 0.5641 0.5641 6.0 3.0
20170802 7.91 0.49 0.24 0.2 0.39 28651.69 RTS164 0.5641 0.5641 6.0 3.0
20170803 7.92 0.51 0.25 0.19 0.4 31779.88 RTS164 0.5641 0.5641 6.0 3.0
20170804 9.05 0.49 0.23 0.17 0.38 32809.76 RTS164 0.5641 0.5641 6.0 3.0
20170805 8.24 0.47 0.22 0.19 0.38 29003.33 RTS164 0.5641 0.5641 6.0 3.0
20170729 5.19 2.29 2.37 1.82 0.45 10287.43 RTS166 0.3967 0.3967 6.0 5.0
20170730 5.41 2.42 2.52 1.94 0.39 11115.66 RTS166 0.3967 0.3967 6.0 5.0
20170731 5.6 2.35 2.35 1.91 0.43 11249.66 RTS166 0.3967 0.3967 6.0 5.0
20170801 6.39 2.36 2.32 1.93 0.45 11447.69 RTS166 0.3967 0.3967 6.0 5.0
20170802 6.62 2.39 2.4 1.92 0.49 9725.92 RTS166 0.3967 0.3967 6.0 5.0
