date max mean median min stdv sum topic n1 no st rt
20170805 26.55 5.91 5.48 3.94 1.31 24111.67 RTS138 0.3738 0.2988 20 12
20170729 13.18 6.71 6.28 4.53 1.3 6234.09 RTS139 0.2094 0.2094 12 12
20170730 15.7 6.99 6.59 4.79 1.32 6120.98 RTS139 0.2094 0.2094 12 12
20170731 13.18 6.73 6.34 4.58 1.25 7179.56 RTS139 0.2094 0.2094 12 12
20170801 13.86 6.33 6.3 3.56 1.2 8102.8 RTS139 0.2094 0.2094 12 12
20170802 13.36 6.19 6.23 4.51 1.32 8362.17 RTS139 0.2094 0.2094 12 12
20170803 18.89 6.58 6.12 4.42 1.29 8525.94 RTS139 0.2094 0.2094 12 12
20170804 13.36 6.8 6.35 4.59 1.2 7104.72 RTS139 0.2094 0.2094 12 12
20170805 13.13 6.84 6.39 4.61 1.2 5853.04 RTS139 0.2094 0.2094 12 12
20170729 12.77 5.48 5.11 3.68 1.13 15961.18 RTS144 0.1398 0.1398 16 10
20170730 12.58 5.85 5.4 2.21 1.21 16328.39 RTS144 0.1398 0.1398 16 10
20170731 16.83 5.84 5.34 3.86 1.22 15674.17 RTS144 0.1398 0.1398 16 10
20170801 14.98 5.59 5.16 3.73 1.14 18112.07 RTS144 0.1398 0.1398 16 10
20170802 16.97 5.54 5.1 3.69 1.2 17311.82 RTS144 0.1398 0.1398 16 10
20170803 15.36 5.62 5.23 1.3 1.18 17197.83 RTS144 0.1398 0.1398 16 10
20170804 15.41 5.67 5.27 3.81 1.17 16803.22 RTS144 0.1398 0.1398 16 10
20170805 15.9 5.81 5.33 3.01 1.19 14059.91 RTS144 0.1398 0.1398 16 10
20170729 16.56 3.97 3.08 1.24 1.67 152200.39 RTS147 0.0183 0.0183 12 10
20170730 16.51 4.09 3.26 1.24 1.53 156870.04 RTS147 0.0183 0.0183 12 10
20170731 18.46 3.92 3.11 1.76 1.43 176934.33 RTS147 0.0183 0.0183 12 10
20170801 17.17 3.91 3.1 1.81 1.47 179142.58 RTS147 0.0183 0.0183 12 10
20170802 18.59 3.95 3.09 1.75 1.58 165075.31 RTS147 0.0183 0.0183 12 10
20170803 17.62 4.02 3.15 1.51 1.51 180498.96 RTS147 0.0183 0.0183 12 10
20170804 16.76 3.98 3.14 1.77 1.46 186215.8 RTS147 0.0183 0.0183 12 10
20170805 18.11 3.96 3.09 1.74 1.5 169246.68 RTS147 0.0183 0.0183 12 10
20170729 21.0 5.35 4.79 3.43 1.56 41199.06 RTS148 0.0473 0.0473 12 10
20170730 29.36 5.67 5.32 1.75 1.76 39055.75 RTS148 0.0473 0.0473 12 10
20170731 21.81 5.32 5.01 2.74 1.53 46172.99 RTS148 0.0473 0.0473 12 10
