date max mean median min stdv sum topic n1 no st rt
20170801 32.72 8.98 8.42 7.85 1.07 20886.59 RTS120 0.5593 0.5593 17 10
20170802 23.62 8.96 8.41 7.84 1.05 18693.34 RTS120 0.5593 0.5593 17 10
20170803 28.22 9.03 8.52 7.95 1.02 20017.15 RTS120 0.5593 0.5593 17 10
20170804 19.62 8.9 8.38 7.8 0.94 22386.35 RTS120 0.5593 0.5593 17 10
20170805 23.02 8.99 8.47 7.89 0.87 19731.42 RTS120 0.5593 0.5593 17 10
20170729 26.12 8.04 7.9 6.72 1.35 78974.03 RTS123 0.4133 0.4133 27 14
20170730 26.31 8.12 7.99 6.34 1.25 80864.4 RTS123 0.4133 0.4133 27 14
20170731 26.39 7.91 7.68 6.29 1.31 93709.11 RTS123 0.4133 0.4133 27 14
20170801 28.53 7.98 7.87 6.37 1.29 93460.96 RTS123 0.4133 0.4133 27 14
20170802 22.59 7.96 7.87 6.7 1.27 83269.45 RTS123 0.4133 0.4133 27 14
20170803 25.58 8.02 7.96 6.73 1.34 90838.39 RTS123 0.4133 0.4133 27 14
20170804 25.83 8.02 7.9 6.41 1.32 92612.13 RTS123 0.4133 0.4133 27 14
20170805 25.51 8.03 7.89 6.83 1.26 79357.06 RTS123 0.4133 0.4133 27 14
20170729 29.36 7.89 7.59 6.99 1.13 51175.58 RTS125 0.6 0.3125 30 20
20170730 30.3 7.93 7.7 6.77 1.05 50221.92 RTS125 0.6 0.3125 30 20
20170731 31.35 7.68 7.48 6.75 1.07 59146.91 RTS125 0.6 0.3125 30 20
20170801 29.54 7.72 7.34 6.77 1.24 60382.34 RTS125 0.6 0.3125 30 20
20170802 30.13 7.66 7.27 6.7 1.1 53650.24 RTS125 0.6 0.3125 30 20
20170803 31.59 7.73 7.52 6.4 0.92 59206.0 RTS125 0.6 0.3125 30 20
20170804 31.26 7.85 7.51 6.89 1.17 57914.64 RTS125 0.6 0.3125 30 20
20170805 21.24 7.89 7.64 7.07 1.01 47920.14 RTS125 0.6 0.3125 30 20
20170729 24.22 9.0 8.97 7.64 1.17 35626.33 RTS126 0.162 0.162 26 14
20170730 31.24 9.17 9.17 7.74 1.26 33959.83 RTS126 0.162 0.162 26 14
20170731 21.36 8.87 8.98 7.48 1.2 40451.08 RTS126 0.162 0.162 26 14
20170801 34.28 8.96 8.9 7.62 1.21 41719.84 RTS126 0.162 0.162 26 14
20170802 25.18 9.1 9.1 7.67 1.31 35018.18 RTS126 0.162 0.162 26 14
20170803 25.48 9.04 9.01 7.63 1.21 39150.35 RTS126 0.162 0.162 26 14
20170804 22.84 9.1 9.08 7.71 1.22 38442.07 RTS126 0.162 0.162 26 14
20170805 39.96 9.11 9.13 7.62 1.47 33781.53 RTS126 0.162 0.162 26 14
20170729 17.86 8.47 8.3 7.71 0.74 34517.71 RTS127 0.2766 0.2766 17 10
20170730 18.96 8.54 8.43 6.31 0.78 36181.55 RTS127 0.2766 0.2766 17 10
20170731 17.52 8.31 8.14 7.17 0.74 43209.25 RTS127 0.2766 0.2766 17 10
20170801 24.87 8.36 8.16 7.54 0.88 44919.38 RTS127 0.2766 0.2766 17 10
20170802 16.62 7.86 7.83 7.0 0.6 59685.44 RTS127 0.2766 0.2766 17 10
20170803 18.14 8.28 8.17 7.44 0.64 45273.63 RTS127 0.2766 0.2766 17 10
20170804 17.23 8.15 8.03 7.28 0.98 56047.41 RTS127 0.2766 0.2766 17 10
20170805 17.2 8.39 8.18 7.54 1.16 43131.79 RTS127 0.2766 0.2766 17 10
20170729 25.49 9.09 8.38 6.84 2.59 80421.61 RTS130 0.1127 0.1127 17 10
20170730 26.68 8.87 8.38 7.17 2.13 76910.8 RTS130 0.1127 0.1127 17 10
20170731 24.06 8.62 8.26 6.99 1.93 87684.86 RTS130 0.1127 0.1127 17 10
20170801 24.21 8.74 8.33 6.92 2.13 87150.41 RTS130 0.1127 0.1127 17 10
20170802 27.29 8.83 8.2 6.74 2.44 89220.68 RTS130 0.1127 0.1127 17 10
20170803 27.48 8.71 8.22 6.78 2.23 93803.02 RTS130 0.1127 0.1127 17 10
20170804 23.85 8.44 8.19 6.69 1.93 98607.11 RTS130 0.1127 0.1127 17 10
20170805 26.76 8.48 8.15 6.67 1.98 82478.2 RTS130 0.1127 0.1127 17 10
20170729 18.86 8.32 8.22 7.19 0.96 35128.12 RTS132 0.2581 0.2581 19 10
20170730 19.63 8.48 8.33 7.31 0.98 34696.05 RTS132 0.2581 0.2581 19 10
20170731 26.53 8.59 8.47 7.45 0.91 35864.92 RTS132 0.2581 0.2581 19 10
20170801 25.69 8.7 8.46 7.46 1.28 32495.54 RTS132 0.2581 0.2581 19 10
20170802 27.45 8.63 7.98 7.4 1.21 28514.38 RTS132 0.2581 0.2581 19 10
20170803 19.78 8.22 7.67 7.1 1.14 36224.51 RTS132 0.2581 0.2581 19 10
20170804 20.04 8.28 7.74 7.16 1.11 35630.09 RTS132 0.2581 0.2581 19 10
20170805 20.85 8.42 7.82 7.24 1.23 29135.53 RTS132 0.2581 0.2581 19 10
20170729 23.35 7.07 6.6 5.61 1.21 170761.37 RTS136 0.2829 0.2829 28 14
20170730 24.27 7.13 6.64 4.33 1.28 176569.08 RTS136 0.2829 0.2829 28 14
20170731 31.33 7.04 6.57 4.91 1.54 206500.92 RTS136 0.2829 0.2829 28 14
20170801 24.85 7.02 6.58 4.94 1.43 208683.47 RTS136 0.2829 0.2829 28 14
20170802 31.75 7.07 6.59 5.08 1.38 179940.31 RTS136 0.2829 0.2829 28 14
20170803 24.88 6.91 6.5 4.98 1.19 214588.95 RTS136 0.2829 0.2829 28 14
20170804 34.52 6.96 6.48 5.0 1.32 213694.55 RTS136 0.2829 0.2829 28 14
20170805 27.65 7.15 6.53 5.15 1.54 178229.33 RTS136 0.2829 0.2829 28 14
20170729 27.37 8.56 8.26 6.68 1.34 35180.56 RTS138 0.375 0.375 30 14
20170730 26.07 7.82 7.58 5.75 1.41 59011.01 RTS138 0.375 0.375 30 14
20170731 26.25 8.7 8.4 7.64 1.23 36316.91 RTS138 0.375 0.375 30 14
20170801 26.2 8.45 8.18 6.97 1.25 41155.31 RTS138 0.375 0.375 30 14
20170802 26.17 8.67 8.44 7.15 1.24 35614.37 RTS138 0.375 0.375 30 14
20170803 25.97 8.64 8.34 7.2 1.13 41093.76 RTS138 0.375 0.375 30 14
20170804 27.52 8.69 8.41 7.65 1.11 39477.99 RTS138 0.375 0.375 30 14
20170805 29.53 8.62 8.23 7.63 1.13 35141.18 RTS138 0.375 0.375 30 14
20170729 19.13 9.55 9.21 8.63 0.71 8871.43 RTS139 0.2344 0.2344 17 10
20170730 14.68 9.74 9.42 8.84 0.64 8536.06 RTS139 0.2344 0.2344 17 10
20170731 19.07 9.56 9.24 8.67 0.68 10203.25 RTS139 0.2344 0.2344 17 10
20170801 21.76 9.35 9.2 8.26 0.64 11963.73 RTS139 0.2344 0.2344 17 10
20170802 13.93 9.16 9.09 8.51 0.56 12380.24 RTS139 0.2344 0.2344 17 10
20170803 22.67 9.37 8.98 8.4 0.78 12129.76 RTS139 0.2344 0.2344 17 10
20170804 19.27 9.62 9.25 8.67 0.77 10057.36 RTS139 0.2344 0.2344 17 10
